transaction_id,amount,transaction_time,merchant_category,distance_from_home,is_fraud
TXN00000,24.46,14,3,15.13,0
TXN00001,46.42,18,3,6.15,0
TXN00002,21.3,7,3,0.21,0
TXN00003,176.18,11,2,2.01,0
TXN00004,11.13,11,2,7.44,0
TXN00005,29.28,16,3,9.46,0
TXN00006,8.51,15,3,4.82,0
TXN00007,627.09,2,5,88.62,1
TXN00008,149.68,13,2,4.87,0
TXN00009,1090.04,1,4,327.26,1
TXN00010,90.55,2,1,2.99,0
TXN00011,55.31,1,2,8.39,0
TXN00012,2.59,17,2,5.97,0
TXN00013,649.07,3,4,225.36,1
TXN00014,16.83,20,2,33.6,0
TXN00015,47.7,12,1,3.51,0
TXN00016,10.03,6,1,14.79,0
TXN00017,12.08,23,3,2.22,0
TXN00018,63.13,2,1,9.31,0
TXN00019,1141.68,8,4,218.79,1
TXN00020,4.28,22,5,13.08,0
TXN00021,51.74,2,1,4.83,0
TXN00022,179.27,2,1,12.79,0
TXN00023,14.46,13,3,7.4,0
TXN00024,28.89,9,4,1.14,0
TXN00025,2.6,6,1,3.77,0
TXN00026,500.5,4,5,482.04,1
TXN00027,46.67,18,4,26.55,0
TXN00028,83.54,20,4,16.28,0
TXN00029,11.32,10,2,1.3,0
TXN00030,23.03,0,1,2.59,0
TXN00031,28.85,19,5,19.71,0
TXN00032,1.35,7,3,5.4,0
TXN00033,13.56,18,2,4.12,0
TXN00034,144.16,21,1,5.17,0
TXN00035,4.35,19,4,2.9,0
TXN00036,35.38,16,5,3.35,0
TXN00037,2.88,16,2,6.99,0
TXN00038,3.64,4,1,10.06,0
TXN00039,58.08,20,4,5.94,0
TXN00040,41.25,22,4,0.84,0
TXN00041,24.07,16,5,10.01,0
TXN00042,51.19,10,1,1.63,0
TXN00043,36.48,15,5,19.54,0
TXN00044,1273.07,3,3,219.32,1
TXN00045,6.06,8,1,5.07,0
TXN00046,37.46,7,1,11.26,0
TXN00047,67.44,17,2,2.98,0
TXN00048,54.94,15,1,7.27,0
TXN00049,16.11,0,4,8.17,0
TXN00050,108.12,22,1,3.27,0
TXN00051,61.26,15,3,19.4,0
TXN00052,26.92,0,4,0.88,0
TXN00053,9.81,5,4,8.69,0
TXN00054,24.28,2,1,0.05,0
TXN00055,9.77,17,2,11.77,0
TXN00056,53.77,8,4,12.45,0
TXN00057,14.54,20,4,4.56,0
TXN00058,974.46,2,1,282.65,1
TXN00059,51.58,21,5,6.67,0
TXN00060,119.28,1,5,6.98,0
TXN00061,44.01,0,5,2.62,0
TXN00062,35.58,3,3,14.63,0
TXN00063,3.23,11,4,6.35,0
TXN00064,17.39,5,3,13.77,0
TXN00065,153.96,16,5,8.49,0
TXN00066,197.44,19,5,4.86,0
TXN00067,1513.24,2,2,371.35,1
TXN00068,43.21,23,2,9.55,0
TXN00069,231.53,1,3,3.5,0
TXN00070,20.47,7,1,1.47,0
TXN00071,62.71,6,5,3.52,0
TXN00072,28.22,17,1,9.45,0
TXN00073,5.26,6,1,9.89,0
TXN00074,11.8,7,4,21.77,0
TXN00075,2.4,1,2,5.77,0
TXN00076,56.74,18,1,1.68,0
TXN00077,201.43,21,2,19.69,0
TXN00078,15.4,9,3,1.36,0
TXN00079,37.93,20,4,2.43,0
TXN00080,49.76,3,5,2.16,0
TXN00081,27.5,2,4,1.42,0
TXN00082,175.56,9,3,15.86,0
TXN00083,16.79,22,2,0.26,0
TXN00084,165.37,22,1,11.66,0
TXN00085,4.0,0,2,2.74,0
TXN00086,5.93,7,5,3.28,0
TXN00087,155.91,6,5,9.46,0
TXN00088,28.2,11,2,4.4,0
TXN00089,71.91,13,4,0.47,0
TXN00090,3.08,13,4,1.93,0
TXN00091,1.87,15,5,6.41,0
TXN00092,10.51,4,2,9.57,0
TXN00093,51.41,1,4,4.69,0
TXN00094,50.16,0,5,11.52,0
TXN00095,48.84,15,2,0.27,0
TXN00096,45.07,19,4,4.91,0
TXN00097,52.54,0,5,7.89,0
TXN00098,142.91,2,1,32.49,0
TXN00099,118.88,11,5,0.72,0
TXN00100,1094.22,1,5,83.02,1
TXN00101,20.21,9,2,4.16,0
TXN00102,16.1,6,4,11.81,0
TXN00103,22.41,10,5,0.4,0
TXN00104,28.06,3,2,5.51,0
TXN00105,43.03,2,1,13.15,0
TXN00106,7.83,16,5,2.73,0
TXN00107,57.95,22,1,2.72,0
TXN00108,24.72,16,4,17.51,0
TXN00109,20.29,18,1,0.55,0
TXN00110,160.15,18,4,4.38,0
TXN00111,158.1,19,3,6.79,0
TXN00112,5.35,4,3,9.22,0
TXN00113,41.34,20,4,29.22,0
TXN00114,77.0,6,5,26.73,0
TXN00115,183.96,13,2,5.83,0
TXN00116,110.33,10,3,1.25,0
TXN00117,8.72,9,2,9.63,0
TXN00118,6.33,6,5,2.52,0
TXN00119,529.46,1,5,318.79,1
TXN00120,100.44,21,4,2.7,0
TXN00121,120.13,12,4,4.31,0
TXN00122,62.58,18,5,4.75,0
TXN00123,62.05,9,2,4.01,0
TXN00124,972.41,12,5,388.64,1
TXN00125,73.88,8,1,11.43,0
TXN00126,14.56,16,1,20.3,0
TXN00127,13.65,5,2,0.12,0
TXN00128,176.13,14,5,0.44,0
TXN00129,130.28,4,4,8.07,0
TXN00130,175.18,17,1,2.44,0
TXN00131,18.44,0,5,11.94,0
TXN00132,25.24,22,1,24.68,0
TXN00133,160.35,15,4,1.13,0
TXN00134,519.66,3,2,174.58,1
TXN00135,23.34,3,3,11.98,0
TXN00136,39.4,0,5,16.81,0
TXN00137,58.72,12,3,17.29,0
TXN00138,150.59,4,1,5.42,0
TXN00139,135.95,17,3,0.46,0
TXN00140,2.34,0,1,6.55,0
TXN00141,211.95,10,5,13.85,0
TXN00142,25.96,16,5,0.66,0
TXN00143,2.88,0,5,0.58,0
TXN00144,101.02,16,5,81.72,0
TXN00145,285.74,20,5,12.95,0
TXN00146,71.75,18,1,2.76,0
TXN00147,12.47,0,3,3.21,0
TXN00148,12.61,0,1,14.15,0
TXN00149,3.4,7,2,6.89,0
TXN00150,33.33,2,3,3.68,0
TXN00151,85.75,11,5,0.93,0
TXN00152,79.47,16,5,9.68,0
TXN00153,61.88,18,4,39.35,0
TXN00154,47.84,17,3,0.95,0
TXN00155,65.8,5,1,15.31,0
TXN00156,26.25,22,2,19.83,0
TXN00157,150.31,3,2,26.12,0
TXN00158,34.88,19,5,39.14,0
TXN00159,34.92,12,3,8.67,0
TXN00160,21.89,14,1,6.16,0
TXN00161,44.95,10,4,2.01,0
TXN00162,22.21,2,3,7.24,0
TXN00163,181.8,18,3,17.25,0
TXN00164,22.16,9,5,0.32,0
TXN00165,1403.26,4,1,112.34,1
TXN00166,21.03,8,2,16.06,0
TXN00167,50.43,14,3,25.37,0
TXN00168,4.15,3,1,0.88,0
TXN00169,46.48,19,2,14.27,0
TXN00170,38.89,1,5,0.64,0
TXN00171,8.99,18,3,22.56,0
TXN00172,36.84,14,4,1.13,0
TXN00173,30.66,2,3,2.78,0
TXN00174,16.68,4,4,0.2,0
TXN00175,20.44,6,2,7.66,0
TXN00176,14.28,12,4,6.42,0
TXN00177,22.93,8,5,6.53,0
TXN00178,44.88,21,2,8.16,0
TXN00179,45.16,11,3,4.76,0
TXN00180,21.58,19,2,9.35,0
TXN00181,15.01,12,5,27.13,0
TXN00182,1.38,20,4,19.03,0
TXN00183,5.6,23,1,0.84,0
TXN00184,38.17,7,5,40.39,0
TXN00185,6.94,1,4,34.89,0
TXN00186,101.31,5,1,6.75,0
TXN00187,65.17,1,3,8.48,0
TXN00188,17.42,11,5,2.07,0
TXN00189,20.55,18,4,7.08,0
TXN00190,14.88,14,1,9.43,0
TXN00191,18.03,4,3,26.88,0
TXN00192,20.33,2,1,4.61,0
TXN00193,31.28,4,2,46.01,0
TXN00194,20.46,1,4,2.94,0
TXN00195,58.21,16,1,9.05,0
TXN00196,32.89,22,3,4.29,0
TXN00197,133.63,11,2,1.33,0
TXN00198,66.63,8,2,2.0,0
TXN00199,4.44,7,4,18.44,0
TXN00200,8.53,8,5,2.25,0
TXN00201,9.94,20,5,16.85,0
TXN00202,55.71,3,1,20.97,0
TXN00203,25.92,7,3,9.78,0
TXN00204,39.8,14,1,2.64,0
TXN00205,115.92,22,2,7.84,0
TXN00206,119.47,18,3,5.65,0
TXN00207,21.23,18,2,1.5,0
TXN00208,80.0,0,4,13.53,0
TXN00209,43.57,5,1,3.74,0
TXN00210,15.28,22,1,0.34,0
TXN00211,43.19,9,5,20.94,0
TXN00212,21.93,5,5,1.17,0
